iter	Passed	Remaining
0	87	39966
1	93	21395
2	183	27838
3	274	31263
4	366	33284
5	456	34452
6	547	35381
7	633	35691
8	714	35726
9	799	35901
10	882	35930
11	966	35995
12	1052	36120
13	1139	36221
14	1223	36230
15	1305	36151
16	1385	36010
17	1469	36013
18	1556	36036
19	1640	36001
20	1716	35810
21	1788	35531
22	1863	35331
23	1938	35131
24	2013	34953
25	2091	34836
26	2166	34663
27	2240	34491
28	2313	34297
29	2383	34087
30	2457	33934
31	2533	33811
32	2612	33723
33	2684	33559
34	2758	33419
35	2831	33266
36	2905	33137
37	2980	33021
38	3052	32874
39	3125	32739
40	3198	32612
41	3276	32530
42	3362	32528
43	3443	32480
44	3523	32420
45	3596	32292
46	3669	32166
47	3742	32044
48	3816	31931
49	3890	31827
50	3964	31716
51	4041	31633
52	4112	31505
53	4187	31408
54	4259	31289
55	4330	31164
56	4401	31042
57	4478	30961
58	4554	30875
59	4628	30782
60	4700	30669
61	4771	30554
62	4846	30460
63	4916	30346
64	4990	30251
65	5062	30144
66	5136	30051
67	5207	29943
68	5281	29852
69	5353	29747
70	5425	29650
71	5498	29553
72	5570	29452
73	5642	29356
74	5711	29243
75	5784	29149
76	5854	29044
77	5928	28959
78	6009	28908
79	6092	28863
80	6174	28815
81	6249	28733
82	6325	28656
83	6403	28585
84	6484	28532
85	6559	28448
86	6632	28360
87	6709	28287
88	6789	28226
89	6880	28210
90	6959	28142
91	7047	28114
92	7163	28192
93	7248	28145
94	7335	28107
95	7417	28047
96	7509	28026
97	7600	27998
98	7697	27992
99	7789	27964
100	7871	27901
101	7956	27849
102	8046	27812
103	8132	27758
104	8212	27687
105	8299	27637
106	8375	27552
107	8453	27474
108	8533	27399
109	8630	27382
110	8724	27353
111	8820	27327
112	8907	27274
113	8998	27233
114	9084	27174
115	9175	27130
116	9255	27055
117	9340	26991
118	9421	26919
119	9511	26869
120	9595	26804
121	9673	26720
122	9751	26639
123	9828	26553
124	9906	26469
125	9994	26413
126	10082	26358
127	10162	26280
128	10242	26201
129	10323	26127
130	10405	26054
131	10486	25977
132	10566	25900
133	10645	25818
134	10722	25732
135	10799	25649
136	10876	25563
137	10958	25491
138	11042	25422
139	11123	25346
140	11206	25274
141	11286	25196
142	11367	25119
143	11447	25041
144	11523	24953
145	11602	24873
146	11676	24783
147	11757	24707
148	11846	24647
149	11938	24594
150	12037	24554
151	12126	24492
152	12209	24418
153	12291	24343
154	12372	24265
155	12457	24196
156	12539	24120
157	12615	24033
158	12691	23947
159	12771	23867
160	12850	23785
161	12927	23700
162	13008	23622
163	13085	23537
164	13161	23452
165	13241	23371
166	13320	23290
167	13397	23206
168	13477	23126
169	13555	23044
170	13631	22958
171	13707	22871
172	13784	22787
173	13866	22712
174	13957	22650
175	14039	22574
176	14121	22498
177	14201	22418
178	14277	22333
179	14355	22250
180	14435	22171
181	14510	22084
182	14588	22001
183	14664	21917
184	14743	21835
185	14819	21751
186	14897	21669
187	14976	21588
188	15051	21501
189	15127	21417
190	15206	21337
191	15284	21254
192	15367	21180
193	15453	21108
194	15529	21024
195	15605	20939
196	15683	20858
197	15759	20773
198	15836	20691
199	15915	20610
200	15995	20531
201	16069	20444
202	16148	20364
203	16226	20282
204	16300	20197
205	16386	20125
206	16465	20044
207	16538	19958
208	16617	19877
209	16693	19794
210	16769	19710
211	16848	19630
212	16924	19546
213	17004	19467
214	17082	19386
215	17158	19303
216	17238	19224
217	17315	19142
218	17395	19063
219	17474	18983
220	17555	18905
221	17633	18824
222	17711	18743
223	17790	18663
224	17865	18579
225	17942	18498
226	18017	18414
227	18095	18333
228	18174	18253
229	18254	18174
230	18329	18091
231	18406	18009
232	18483	17928
233	18560	17846
234	18637	17765
235	18714	17683
236	18790	17601
237	18866	17519
238	18946	17440
239	19024	17359
240	19101	17278
241	19189	17206
242	19273	17132
243	19356	17055
244	19437	16978
245	19515	16897
246	19591	16815
247	19669	16734
248	19749	16656
249	19825	16573
250	19901	16491
251	19984	16415
252	20062	16335
253	20142	16256
254	20222	16178
255	20309	16104
256	20390	16026
257	20472	15949
258	20554	15871
259	20635	15793
260	20713	15713
261	20790	15632
262	20868	15551
263	20947	15472
264	21024	15391
265	21104	15312
266	21184	15234
267	21263	15154
268	21339	15072
269	21417	14992
270	21498	14914
271	21573	14832
272	21649	14750
273	21729	14671
274	21814	14596
275	21891	14514
276	21975	14438
277	22053	14358
278	22128	14276
279	22207	14197
280	22290	14119
281	22385	14050
282	22472	13975
283	22577	13912
284	22718	13869
285	22853	13823
286	22992	13779
287	23107	13720
288	23247	13675
289	23387	13629
290	23524	13581
291	23644	13522
292	23771	13467
293	23892	13409
294	24013	13349
295	24130	13288
296	24248	13226
297	24357	13159
298	24472	13095
299	24581	13028
300	24682	12956
301	24787	12886
302	24880	12809
303	24974	12733
304	25063	12655
305	25152	12576
306	25248	12500
307	25339	12423
308	25438	12348
