match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,KKR,DC,1,1,Player_57,Player_90,Bowler_42,0,0,0,0,0,0,1,0,1,,,
1,1,CSK,DC,1,2,Player_81,Player_57,Bowler_37,0,0,0,0,0,0,4,1,5,,,
1,1,RCB,SRH,1,3,Player_79,Player_98,Bowler_28,0,0,0,0,0,0,4,0,4,,,Fielder_39
1,1,MI,PBKS,1,4,Player_33,Player_81,Bowler_10,0,0,0,0,0,0,6,0,6,,bowled,
1,1,RCB,SRH,1,5,Player_70,Player_64,Bowler_5,0,1,0,0,0,0,2,0,2,,,
1,1,CSK,SRH,1,6,Player_73,Player_66,Bowler_47,0,0,0,0,0,0,3,0,3,,,
1,1,KKR,RR,2,1,Player_67,Player_64,Bowler_6,0,0,0,0,0,0,0,0,0,,lbw,
1,1,CSK,RR,2,2,Player_38,Player_59,Bowler_11,0,0,0,0,0,0,0,0,0,,,Fielder_14
1,1,RCB,RR,2,3,Player_4,Player_28,Bowler_34,0,0,0,0,0,0,0,1,1,,,Fielder_38
1,1,CSK,SRH,2,4,Player_98,Player_96,Bowler_21,0,0,0,0,0,0,1,0,1,,,
1,1,CSK,PBKS,2,5,Player_7,Player_8,Bowler_31,0,0,0,0,0,0,0,0,0,,,
1,1,CSK,RR,2,6,Player_30,Player_90,Bowler_24,0,0,0,0,0,0,2,0,2,,,
1,1,MI,RR,3,1,Player_62,Player_27,Bowler_13,0,0,0,0,0,0,2,0,2,Player_47,,
1,1,RCB,PBKS,3,2,Player_23,Player_91,Bowler_36,0,1,0,0,0,0,0,0,0,,,
1,1,MI,RR,3,3,Player_51,Player_50,Bowler_31,0,1,0,0,0,0,1,0,1,,,
1,1,RCB,DC,3,4,Player_58,Player_52,Bowler_37,0,0,1,0,0,0,4,0,4,,,
1,1,CSK,PBKS,3,5,Player_88,Player_82,Bowler_14,0,0,0,0,0,0,2,0,2,,,Fielder_5
1,1,RCB,SRH,3,6,Player_65,Player_78,Bowler_26,0,0,0,0,0,0,1,0,1,,,
1,1,CSK,SRH,4,1,Player_58,Player_49,Bowler_1,0,0,0,0,0,0,1,0,1,,,Fielder_32
1,1,MI,SRH,4,2,Player_21,Player_69,Bowler_7,0,0,0,0,0,0,1,0,1,,,
1,1,KKR,RR,4,3,Player_24,Player_69,Bowler_12,0,0,1,0,0,0,2,0,2,,,
1,1,RCB,PBKS,4,4,Player_76,Player_18,Bowler_43,0,0,0,0,0,0,1,0,1,,,
1,1,KKR,SRH,4,5,Player_42,Player_79,Bowler_46,0,0,0,1,0,0,1,0,1,,,
1,1,RCB,RR,4,6,Player_12,Player_24,Bowler_37,0,0,0,0,0,0,0,0,0,,,
1,1,RCB,RR,5,1,Player_56,Player_39,Bowler_26,0,0,0,0,0,0,1,0,1,,,
1,1,KKR,RR,5,2,Player_7,Player_21,Bowler_33,0,0,0,0,1,0,0,0,0,,,
1,1,MI,SRH,5,3,Player_37,Player_98,Bowler_1,0,0,0,0,0,0,1,0,1,,,
1,1,RCB,RR,5,4,Player_64,Player_96,Bowler_42,0,1,0,0,0,0,0,0,0,Player_24,,
1,1,KKR,SRH,5,5,Player_99,Player_63,Bowler_31,0,0,0,0,0,0,0,0,0,,,
1,1,MI,DC,5,6,Player_80,Player_17,Bowler_45,0,0,0,0,0,0,1,0,1,,,
1,1,MI,RR,6,1,Player_66,Player_65,Bowler_46,0,0,0,0,0,0,1,0,1,,caught,
1,1,KKR,RR,6,2,Player_43,Player_25,Bowler_23,0,0,0,0,0,0,1,0,1,,,
1,1,CSK,PBKS,6,3,Player_97,Player_90,Bowler_44,0,0,0,0,0,0,1,0,1,,,
1,1,MI,SRH,6,4,Player_7,Player_66,Bowler_3,0,0,0,0,0,0,1,0,1,,,
1,1,RCB,DC,6,5,Player_84,Player_78,Bowler_2,0,0,0,1,0,0,1,0,1,,,Fielder_30
1,1,MI,SRH,6,6,Player_16,Player_88,Bowler_25,0,0,0,0,0,0,0,0,0,,,
1,1,KKR,DC,7,1,Player_31,Player_19,Bowler_35,0,0,0,0,0,0,1,0,1,,,Fielder_6
1,1,KKR,SRH,7,2,Player_20,Player_55,Bowler_16,0,0,0,0,0,0,4,0,4,,,
1,1,MI,DC,7,3,Player_42,Player_20,Bowler_18,0,0,0,1,0,0,0,0,0,,,
1,1,CSK,RR,7,4,Player_93,Player_69,Bowler_33,0,1,1,0,0,0,2,0,2,,,Fielder_18
1,1,CSK,RR,7,5,Player_89,Player_8,Bowler_42,0,1,0,0,0,0,1,0,1,,,Fielder_47
1,1,CSK,RR,7,6,Player_48,Player_14,Bowler_19,0,0,0,0,0,0,0,0,0,,,
1,1,RCB,DC,8,1,Player_49,Player_32,Bowler_40,0,0,0,0,0,0,1,0,1,,,
1,1,MI,DC,8,2,Player_15,Player_52,Bowler_25,0,0,0,0,0,0,6,0,6,Player_69,,
1,1,MI,DC,8,3,Player_61,Player_55,Bowler_44,0,0,0,0,0,0,1,0,1,,,
1,1,MI,SRH,8,4,Player_43,Player_76,Bowler_20,0,1,0,0,0,0,1,0,1,,,
1,1,KKR,RR,8,5,Player_96,Player_22,Bowler_26,0,0,0,0,0,0,0,0,0,,,
1,1,KKR,PBKS,8,6,Player_24,Player_36,Bowler_9,0,0,0,0,0,0,4,0,4,,,
1,1,CSK,RR,9,1,Player_12,Player_16,Bowler_31,0,0,0,0,0,0,1,0,1,,,Fielder_41
1,1,KKR,SRH,9,2,Player_2,Player_80,Bowler_17,0,0,0,0,0,0,0,0,0,,,
1,1,CSK,RR,9,3,Player_67,Player_82,Bowler_17,0,0,0,0,1,0,3,1,4,,,
1,1,CSK,PBKS,9,4,Player_61,Player_94,Bowler_8,0,0,0,0,0,0,0,0,0,,,
1,1,KKR,RR,9,5,Player_33,Player_50,Bowler_38,0,0,0,0,0,0,1,0,1,,,
1,1,MI,DC,9,6,Player_35,Player_54,Bowler_17,0,0,0,0,0,0,4,1,5,,,
1,1,RCB,DC,10,1,Player_31,Player_76,Bowler_17,0,0,0,0,0,0,4,0,4,,,Fielder_29
1,1,CSK,RR,10,2,Player_27,Player_48,Bowler_21,0,0,0,0,1,0,1,0,1,,,Fielder_31
1,1,KKR,PBKS,10,3,Player_58,Player_37,Bowler_41,0,0,0,0,0,0,0,0,0,,,
1,1,KKR,RR,10,4,Player_49,Player_58,Bowler_21,0,0,0,0,0,0,0,1,1,,,
1,1,KKR,RR,10,5,Player_42,Player_50,Bowler_21,0,0,0,0,0,0,1,0,1,,,Fielder_33
1,1,KKR,RR,10,6,Player_30,Player_49,Bowler_37,0,0,0,0,0,0,0,1,1,,,
