id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
1,2020,Bangalore,2020-01-01,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Kolkata Knight Riders,29,8,Eden Gardens
2,2024,Chennai,2020-01-02,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,79,0,MA Chidambaram Stadium
3,2024,Hyderabad,2020-01-03,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,1,Mumbai Indians,3,1,MA Chidambaram Stadium
4,2022,Mumbai,2020-01-04,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,62,4,MA Chidambaram Stadium
5,2020,Mumbai,2020-01-05,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,58,4,Eden Gardens
6,2024,Jaipur,2020-01-06,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,99,8,Wankhede Stadium
7,2024,Mumbai,2020-01-07,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,96,2,Wankhede Stadium
8,2021,Mohali,2020-01-08,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Mumbai Indians,70,1,M Chinnaswamy Stadium
9,2023,Bangalore,2020-01-09,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,field,normal,0,Chennai Super Kings,82,0,Eden Gardens
10,2024,Mohali,2020-01-10,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,26,7,M Chinnaswamy Stadium
11,2024,Kolkata,2020-01-11,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,tie,1,Royal Challengers Bangalore,43,0,MA Chidambaram Stadium
12,2021,Mohali,2020-01-12,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Kolkata Knight Riders,88,9,Eden Gardens
13,2022,Kolkata,2020-01-13,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,tie,1,Royal Challengers Bangalore,75,9,M Chinnaswamy Stadium
14,2021,Mohali,2020-01-14,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,field,tie,0,Mumbai Indians,20,7,Wankhede Stadium
15,2024,Bangalore,2020-01-15,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,1,4,Wankhede Stadium
16,2020,Hyderabad,2020-01-16,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,67,3,Eden Gardens
17,2021,Chennai,2020-01-17,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,91,5,MA Chidambaram Stadium
18,2020,Chennai,2020-01-18,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,68,7,M Chinnaswamy Stadium
